label,Main_Label,Sub_Label,Label_Identification,product,uri,upc,ean,isrc,song_name,artist_name,composer_name,album_name,total,file_name,income,admin_Exp,royality
"RHYFIL","Danka Music","RHYFIL","PDL","FAM6","spotify:track:13wK4rl4toq8yDXwQ6YGGf","","1.94E+12","INR1L2100115","Jaaneman","Shaarib Toshi  Kkomal Krusshna  Kalim Shaikh","Shaarib Toshi  Kalim Shaikh","Jaaneman","4","Streaming","0.81477288","0.12221593","0.69255694"
"RHYFIL","Danka Music","RHYFIL","PDL","FAM6","spotify:track:198JS19D86t3HzphIFF7DB","1.96E+11","","QZFZ42186097","Main Ek Saaya","Reeshabh Purohit  Nisha Satpute  Malavika Dikshit","Reeshabh Purohit  Nisha Satpute","Main Ek Saaya","6","Streaming","1.22215923","0.18332389","1.03883535"
"RHYFIL","Danka Music","RHYFIL","PDL","FAM6","spotify:track:4mHiyKyaiDzuMmvOKAtXL8","","1.94E+12","INR1L2100124","Heer","Harshit Chauhan","Harshit Chauhan","Heer","1","Streaming","0.20369322","0.03055398","0.17313924"
"RHYFIL","Danka Music","RHYFIL","PDL","FAM6","spotify:track:4py0i2SNdV0zX91ftbo7oN","","1.94E+12","INR1L2100036","Yei Vithuraya Abhang","Jayateerth Mevundi  Kedar Divekar  Avadhoot Gahndhi","Kedar Divekar  Avadhoot Gandhi  Valay Mulgund","Yei Vithuraya Abhang","1","Streaming","0.20369322","0.03055398","0.17313924"
"RHYFIL","Danka Music","RHYFIL","PDL","FAM6","spotify:track:54icRguusp8jnhYm8PqipI","","1.94E+12","INR1L2100030","Raag Khamaj - Thumri - Chhab Dikhala Ja","Shubha Joshi","Traditional","Surmayi","1","Streaming","0.20369322","0.03055398","0.17313924"
"RHYFIL","Danka Music","RHYFIL","PDL","FAM6","spotify:track:57sbDFoOKvZTd2D13slsKf","","1.94E+12","INR1L2100131","Ruswaa","Reeshabh Purohit  Kalim Shaikh  Khwaab","Reeshabh Purohit  Kalim Shaikh","Ruswaa","7","Streaming","1.42585245","0.21387787","1.21197458"
"RHYFIL","Danka Music","RHYFIL","PDL","FAM6","spotify:track:5lJEzTXNAuvcylxn6M1Op4","","1.94E+12","INR1L2100129","Ab Ghan","Shankar Mahadevan  Anoushka Naik","Anoushka Naik","Ab Ghan","4","Streaming","0.81477288","0.12221593","0.69255694"
"RHYFIL","Danka Music","RHYFIL","PDL","FAM6","spotify:track:7e8fqBJhN0n5tkfmZTvZFa","","1.94E+12","INR1L2100031","Raag Bhairavi - Dadra - Rab Tohe Bhoole Nahi Bane","Shubha Joshi","Traditional","Surmayi","1","Streaming","0.20369322","0.03055398","0.17313924"
"RHYFIL","Danka Music","RHYFIL","PDL","P","spotify:track:13wK4rl4toq8yDXwQ6YGGf","","1.94E+12","INR1L2100115","Jaaneman","Shaarib Toshi  Kkomal Krusshna  Kalim Shaikh","Shaarib Toshi  Kalim Shaikh","Jaaneman","2","Streaming","0.40738644","0.06110797","0.34627847"
"RHYFIL","Danka Music","RHYFIL","PDL","P","spotify:track:4DTW0igfwXbeXNSZawxyZs","","1.94E+12","INR1L2100117","Diwali Hai Ye","Nakash Aziz  Tapanjyoti Datta","Tapanjyoti Datta  Sanjay Datar","Diwali Hai Ye","1","Streaming","0.20369322","0.03055398","0.17313924"
"RHYFIL","Danka Music","RHYFIL","PDL","P","spotify:track:5lJEzTXNAuvcylxn6M1Op4","","1.94E+12","INR1L2100129","Ab Ghan","Shankar Mahadevan  Anoushka Naik","Anoushka Naik","Ab Ghan","2","Streaming","0.40738644","0.06110797","0.34627847"
"RHYFIL","Danka Music","RHYFIL","PDL","P","spotify:track:7e8fqBJhN0n5tkfmZTvZFa","","1.94E+12","INR1L2100031","Raag Bhairavi - Dadra - Rab Tohe Bhoole Nahi Bane","Shubha Joshi","Traditional","Surmayi","6","Streaming","1.22215923","0.18332389","1.03883535"
"RHYFIL","Danka Music","RHYFIL","PDL","PDS","spotify:track:198JS19D86t3HzphIFF7DB","1.96E+11","","QZFZ42186097","Main Ek Saaya","Reeshabh Purohit  Nisha Satpute  Malavika Dikshit","Reeshabh Purohit  Nisha Satpute","Main Ek Saaya","3","Streaming","0.61107966","0.09166195","0.51941771"
"RHYFIL","Danka Music","RHYFIL","PDL","PDS","spotify:track:4F4NOm1ZBVDxZc9NJSBVBX","","8.91E+12","INR1L2100136","Bum Bhole Bum","Abby J  Sanrich  Mrunal Shankar","Abby J  Sanrich","Bum Bhole Bum","1","Streaming","0.20369322","0.03055398","0.17313924"
"RHYFIL","Danka Music","RHYFIL","PDL","PDS","spotify:track:57sbDFoOKvZTd2D13slsKf","","1.94E+12","INR1L2100131","Ruswaa","Reeshabh Purohit  Kalim Shaikh  Khwaab","Reeshabh Purohit  Kalim Shaikh","Ruswaa","2","Streaming","0.40738644","0.06110797","0.34627847"
